,0,City,Latitude,Longitude,ID,Temperature,Humidity,Cloudiness,Wind Speed (mph)
360,carnarvon,carnarvon,-24.8667,113.6333,2074865,66.2,63,100,6.91
361,oxapampa,oxapampa,-10.5775,-75.4017,3933874,58.69,97,54,2.59
362,kant,kant,27.8,79.8,1267979,75.09,37,35,4.05
363,acari,acari,-15.4311,-74.6158,3948613,70.57,86,21,4.92
364,galesburg,galesburg,40.9478,-90.3712,4893392,50,34,1,8.05
365,bargal,bargal,,,,,,,
366,vanavara,vanavara,60.34,102.2797,2013727,30.16,85,99,10.04
367,klaksvik,klaksvik,62.2266,-6.589,2618795,41,87,75,5.19
368,verkhnyaya inta,verkhnyaya inta,65.9811,60.3094,1487332,37.9,91,100,13.56
369,yankton,yankton,42.8711,-97.3973,5233053,48.58,61,90,11.5
370,cap malheureux,cap malheureux,-19.9842,57.6142,934649,75.99,87,100,3
371,toamasina,toamasina,-18.1667,49.3833,1053384,71.6,94,75,5.75
372,coihueco,coihueco,-36.6167,-71.8333,3894406,53.6,100,20,1.7
373,zyryanka,zyryanka,65.75,150.85,2119283,21.07,79,100,10.98
374,acapulco,acapulco,16.8634,-99.8901,3533462,82.4,69,20,10.36
375,krasnoobsk,krasnoobsk,54.9198,82.9909,1502091,27.93,63,0,4.47
376,tazovskiy,tazovskiy,67.4667,78.7,1489853,29.53,86,96,17.22
377,taman,taman,45.2117,36.7161,484670,42.8,87,3,8.95
378,graham,graham,47.0529,-122.2943,5795906,60.08,51,90,5.75
379,bellavista,bellavista,-7.0561,-76.5911,3699364,82.4,69,20,3.44
380,faanui,faanui,-16.4833,-151.75,4034551,81.09,73,9,14.29
381,kruisfontein,kruisfontein,-34.0033,24.7314,986717,63,86,0,1.01
382,aklavik,aklavik,68.2191,-135.0107,5882953,28.4,50,20,4.61
383,jiddah,jiddah,,,,,,,
384,vila do maio,vila do maio,15.1333,-23.2167,3374120,69.8,78,20,18.41
385,kulhudhuffushi,kulhudhuffushi,6.6221,73.07,1337613,83.19,72,75,7.34
386,nileshwar,nileshwar,12.25,75.1,1261394,77.86,88,100,5.61
387,magistralnyy,magistralnyy,56.1725,107.4458,2020584,31.91,63,5,1.39
388,bafoulabe,bafoulabe,13.8065,-10.8321,2460755,93.79,29,100,4.45
389,mezen,mezen,65.8522,44.24,527321,34.93,95,100,11.36
390,kutum,kutum,14.2,24.6667,371745,74.8,20,85,7.38
391,sonoita,sonoita,31.85,-112.8333,3982837,75.99,30,0,13.04
392,deer lake,deer lake,49.1667,-57.4316,5937252,48.11,87,90,11.5
393,maniitsoq,maniitsoq,65.4167,-52.9,3421982,28.81,64,6,7.72
394,naze,naze,28.3667,129.4833,1855540,71.6,73,75,19.57
395,hastings,hastings,50.8552,0.5729,2647356,38.21,87,6,19.57
396,esso,esso,55.9333,158.7,2125711,36.45,99,79,0.56
397,sao joao da barra,sao joao da barra,-21.6403,-41.0511,3448903,70.25,80,0,12.53
398,heubach,heubach,48.7927,9.9337,2905154,35.33,74,5,2.04
399,leshukonskoye,leshukonskoye,64.8989,45.7622,535839,35.71,82,100,9.73
400,orapa,orapa,-21.2833,25.3667,933186,58.77,42,99,8.01
401,wyszkow,wyszkow,52.5928,21.4584,754454,37.69,80,15,3
402,motala,motala,58.5371,15.0365,2690960,35.64,56,55,8.05
403,miri,miri,4.4148,114.0089,1738050,82.2,83,20,3.44
404,bireun,bireun,5.203,96.7009,1215350,78.94,82,100,4.56
405,champerico,champerico,14.3,-91.9167,3598787,75.81,89,75,5.26
406,san andres,san andres,12.5847,-81.7006,3670218,84.2,70,40,13.8
407,tevaitoa,tevaitoa,-16.7833,-151.5,4033375,80.74,75,17,15.37
408,halalo,halalo,,,,,,,
409,moose factory,moose factory,51.2585,-80.6094,6078372,33.8,64,40,6.91
410,tilichiki,tilichiki,60.4667,166.1,2120591,28.13,84,16,3.09
411,mirnyy,mirnyy,62.5353,113.9611,2019951,28.58,86,100,15.82
412,metlika,metlika,45.6472,15.3142,3195214,45.72,90,100,1.86
413,dingle,dingle,10.9995,122.6711,1714733,86.76,61,100,11.34
414,asau,asau,46.4333,26.4,686090,48.2,71,0,2.3
415,helena,helena,46.5927,-112.0361,5656882,32.81,69,90,14.97
416,pushkino,pushkino,56.0172,37.8667,503977,48.2,71,0,8.95
417,kualakapuas,kualakapuas,-3.0091,114.3876,1639304,78.8,89,7,2.3
418,hami,hami,42.8,93.45,1529484,47.39,30,100,3.51
419,touros,touros,-5.1989,-35.4608,3386213,78.8,89,40,3.44
420,kropotkin,kropotkin,45.4375,40.5756,540761,45.19,93,0,6.35
421,hervey bay,hervey bay,-25.2986,152.8535,2146219,70,50,95,4
422,saint-georges,saint-georges,12.0564,-61.7485,3579925,80.6,78,20,23.02
423,umm lajj,umm lajj,25.0213,37.2685,100926,79.72,66,97,6.71
424,saldanha,saldanha,-33.0117,17.9442,3361934,59,88,0,3.44
425,keuruu,keuruu,62.2667,24.7,652977,34.29,100,90,3.44
426,kirakira,kirakira,-10.4544,161.9205,2178753,85.42,69,100,6.76
427,aba,aba,5.1066,7.3667,2353151,78.12,89,100,3.51
428,chernyshevskiy,chernyshevskiy,63.0128,112.4714,2025456,27.68,86,100,13.49
429,hashtgerd,hashtgerd,35.9642,50.6858,122438,68,34,75,11.5
430,tsihombe,tsihombe,,,,,,,
431,hampton,hampton,37.0299,-76.3452,4762894,51.93,32,20,9.22
432,carupano,carupano,10.6678,-63.2585,3646382,76.37,84,2,10.42
433,mazatlan,mazatlan,23.2167,-106.4167,3996322,80.96,47,40,11.5
434,sumenep,sumenep,-7.0167,113.8667,1626099,81.52,72,7,4.9
435,bud,bud,39.447,-86.1758,4255151,47.39,43,1,4.61
436,seymchan,seymchan,62.8833,152.4333,2121373,25.97,93,100,1.95
437,kandrian,kandrian,-6.2167,149.55,2094746,84.56,70,98,4.07
438,french harbor,french harbor,16.35,-86.4333,3609667,81.61,78,20,18.41
439,evensk,evensk,61.95,159.2333,2125693,29.03,95,100,3.85
440,saleaula,saleaula,,,,,,,
441,quirinopolis,quirinopolis,-18.4483,-50.4517,3451931,66.52,43,0,3.33
442,sao filipe,sao filipe,14.8961,-24.4956,3374210,71.92,74,22,11.61
443,banda aceh,banda aceh,5.5577,95.3222,1215502,81.97,76,97,10.31
444,pokhara,pokhara,28.2333,83.9833,1282898,68.02,26,0,4.85
445,slobozia,slobozia,46.7281,29.7078,617381,51.8,76,0,5.75
446,ketchikan,ketchikan,55.3422,-131.6461,5554428,52.97,40,100,4.61
447,north bend,north bend,43.4065,-124.2243,5742974,56.19,71,40,11.5
448,masjed-e soleyman,masjed-e soleyman,,,,,,,
449,peniche,peniche,39.3558,-9.3811,2264923,57.07,83,100,8.01
450,vila franca do campo,vila franca do campo,37.7167,-25.4333,3372472,59,72,40,35.68
451,olinda,olinda,-8.0089,-34.8553,3393536,80.6,74,75,5.75
452,vaitupu,vaitupu,,,,,,,
453,ginda,ginda,30.6945,78.4932,1253628,46,73,85,7.9
454,wanxian,wanxian,30.8039,108.3897,1791748,72.27,83,94,6.49
455,kahului,kahului,20.8947,-156.47,5847411,79.14,51,40,23.02
456,brakpan,brakpan,-26.2366,28.3694,1016181,55.92,62,62,2.3
457,pangody,pangody,65.85,74.4859,1495626,29.71,84,94,18.41
458,quixada,quixada,-4.9714,-39.0153,3390907,72.75,95,100,3.02
459,longyearbyen,longyearbyen,78.2186,15.6401,2729907,15.8,67,75,4.61
460,nabire,nabire,-3.3667,135.4833,1634614,85.03,69,97,1.66
461,valcourt,valcourt,45.5001,-72.3158,6172998,33.3,51,100,6.91
462,miranda,miranda,3.2499,-76.2281,3674702,77,69,40,11.5
463,baijiantan,baijiantan,45.6333,85.1833,1529626,38.77,31,100,21.63
464,davidson,davidson,36.1501,-86.7833,4617305,57.2,35,1,4.61
465,tonekabon,tonekabon,36.8163,50.8738,112656,60.8,94,75,6.91
466,puerto del rosario,puerto del rosario,28.5004,-13.8627,2512186,68,68,0,8.05
467,ndele,ndele,8.4109,20.6473,237379,76.35,56,49,4.34
468,bocana de paiwas,bocana de paiwas,12.7857,-85.1227,3620661,77.49,59,15,11.63
469,xining,xining,36.6167,101.7667,1788852,52.86,71,100,1.63
470,san borja,san borja,-14.8167,-66.85,3905792,80.6,83,75,2.51
471,kouango,kouango,4.9934,19.9619,2385535,72.5,88,100,3.83
472,kyren,kyren,51.6828,102.1408,2021031,28.69,70,100,2.06
473,winslow,winslow,35.0242,-110.6974,5321473,68,10,1,14.97
474,ucluelet,ucluelet,48.9329,-125.5528,6171633,57.06,71,20,8.05
475,kholodnyy,kholodnyy,62.7167,147.95,2124611,22.75,82,100,1.95
476,makamba,makamba,-4.1348,29.804,422232,60.58,88,35,1.36
477,vardo,vardo,70.3705,31.1107,777019,35.33,68,100,15.43
478,linchuan,linchuan,,,,,,,
479,coracora,coracora,-15.0333,-73.7833,3942259,48.27,81,1,1.1
480,katherine,katherine,-14.4667,132.2667,2068655,80.6,74,90,12.66
481,torbay,torbay,47.6666,-52.7314,6167817,42.35,100,90,33.38
482,hirado,hirado,33.3597,129.5531,1862555,64.4,77,0,1.14
483,tateyama,tateyama,34.9833,139.8667,1850523,57.43,58,40,16.11
484,hobyo,hobyo,5.3505,48.5268,57000,83.59,70,100,10.29
485,sinop,sinop,41.7711,34.8709,739598,44.17,72,6,8.88
486,ratnapura,ratnapura,6.6828,80.3992,1228730,75.36,94,18,1.63
487,huarmey,huarmey,-10.0681,-78.1522,3939168,68.31,85,1,10.78
488,jiblah,jiblah,13.9216,44.1467,74185,62.87,41,23,4.34
489,aparecida,aparecida,-22.8469,-45.2297,3471949,62.6,82,0,1.14
490,cockburn town,cockburn town,21.4612,-71.1419,3576994,78.19,79,2,17.31
491,buctzotz,buctzotz,21.2,-88.7833,3532089,79.32,71,16,9.4
492,petropavlovsk-kamchatskiy,petropavlovsk-kamchatskiy,53.0452,158.6483,2122104,46.4,61,20,4.47
493,kuusamo,kuusamo,65.9667,29.1833,649924,28.4,93,0,2.3
494,brokopondo,brokopondo,4.75,-55.1667,3384481,76.35,91,100,9.33
495,laohekou,laohekou,32.3858,111.6678,1804386,61.54,82,100,9.19
496,nunchia,nunchia,5.6406,-72.1986,3673695,76.08,65,7,5.06
497,kysyl-syr,kysyl-syr,63.8986,122.7617,2021017,29.37,90,100,10.02
498,los corrales de buelna,los corrales de buelna,43.2636,-4.0726,3118024,56.28,87,0,7.36
499,sao felix do xingu,sao felix do xingu,-6.6447,-51.995,3388847,71.94,97,89,0.4
500,aswan,aswan,24.0934,32.907,359792,83.43,18,21,10.49
501,along,along,28.1667,94.7667,1278969,68.59,90,64,0.83
502,suntar,suntar,62.1444,117.6319,2015913,30.45,86,100,13.82
503,carangola,carangola,-20.7331,-42.0294,3467012,63.55,90,12,1.66
504,emborion,emborion,40.4833,21.55,736324,51.8,66,100,2.3
505,fort nelson,fort nelson,58.8053,-122.7002,5955902,41,24,40,8.05
506,komsomolets,komsomolets,53.7453,62.0708,1522348,45.12,61,100,5.19
507,nemuro,nemuro,43.3236,145.575,2128975,42.8,65,20,8.05
508,birin,birin,26.8865,88.0718,1283334,62.55,43,3,2.44
509,ngunguru,ngunguru,-35.6167,174.5,2186111,66,93,100,3
510,valley city,valley city,46.9233,-98.0032,5062292,59,26,1,20.71
511,weiser,weiser,44.251,-116.9693,5611730,66.94,18,1,9.1
512,saint-pierre,saint-pierre,-21.3393,55.4781,935214,71.1,83,90,10.36
513,fandriana,fandriana,-20.2333,47.3833,1065222,59.63,98,100,2.15
514,santa vitoria do palmar,santa vitoria do palmar,-33.5189,-53.3681,3449747,65.89,81,78,11.61
515,tamiahua,tamiahua,21.2667,-97.45,3516376,75.2,87,100,8.77
516,freeport,freeport,40.6576,-73.5832,5117949,45,31,75,11.5
517,avesta,avesta,60.1455,16.1679,2724231,35.01,59,1,10
518,umzimvubu,umzimvubu,,,,,,,
519,opuwo,opuwo,-18.0607,13.84,3354077,67.98,37,26,5.97
520,okhotsk,okhotsk,59.3833,143.3,2122605,31.01,93,100,10.63
521,safaga,safaga,26.7292,33.9365,358620,73.4,38,0,14.97
522,bairiki,bairiki,1.3292,172.9752,7601762,87.8,70,40,5.75
523,urusha,urusha,54.05,122.9,2014078,32.13,37,100,7.94
524,trogir,trogir,43.5125,16.2517,3188763,51.89,82,75,4.61
525,lincoln,lincoln,40.8,-96.667,5072006,54.1,35,90,13.8
526,fuling,fuling,29.7022,107.3919,1810979,73.83,81,100,2.64
527,poum,poum,-20.2333,164.0167,2138555,79.27,76,100,5.91
528,krasnoselkup,krasnoselkup,65.7,82.4667,1502073,26.33,87,70,15.52
529,salym,salym,60.0625,71.4789,1493162,32.68,71,22,10.25
530,comodoro rivadavia,comodoro rivadavia,-45.8667,-67.5,3860443,46.4,81,0,5.26
531,malko tarnovo,malko tarnovo,41.9833,27.5333,729322,50,93,0,2.3
532,katsuura,katsuura,35.1333,140.3,2112309,57.67,54,20,9.22
533,kuching,kuching,1.55,110.3333,1735634,75.11,94,20,3.06
534,hargeysa,hargeysa,9.56,44.065,57289,70.99,67,100,7.14
535,doha,doha,25.2867,51.5333,290030,79.03,44,0,3.44
536,santa clara,santa clara,22.4,-79.9667,3537906,80.6,39,75,6.91
537,emerald,emerald,-23.5333,148.1667,2167426,68,56,90,18.41
538,yarkovo,yarkovo,57.4028,67.0786,1486369,39.22,57,89,9.46
539,hofn,hofn,64.2539,-15.2082,2630299,37.92,78,100,2.91
540,sangmelima,sangmelima,2.9333,11.9833,2222230,67.41,99,100,1.95
541,pathein,pathein,16.7833,94.7333,1328421,84.92,64,52,12.64
542,rio gallegos,rio gallegos,-51.6226,-69.2181,3838859,46.4,87,40,1.14
543,komsomolskiy,komsomolskiy,40.4272,71.7189,1513491,45.97,81,0,2.64
544,ciudad bolivar,ciudad bolivar,8.1222,-63.5497,3645532,83.01,59,77,15.55
545,santiago del estero,santiago del estero,-27.7951,-64.2615,3835869,67.17,94,100,3.36
546,kinablangan,kinablangan,7.6947,126.5503,1708743,84.63,64,23,2.82
547,san cayetano,san cayetano,7.8771,-72.6243,3669977,82.4,69,20,5.75
548,baoying,baoying,33.2292,119.3092,1816890,62.24,82,100,4.54
549,wanning,wanning,18.8003,110.3967,1791779,82.09,72,8,8.01
550,podor,podor,16.6527,-14.9587,2245170,78.8,47,0,4.61
551,aitape,aitape,-3.1374,142.3475,2101169,84.31,71,100,3.18
552,half moon bay,half moon bay,37.4636,-122.4286,5354943,52.48,87,90,11.5
553,dalvik,dalvik,65.9702,-18.5286,2632287,37.4,93,0,2.3
554,muli,muli,2.9167,73.5667,1337617,82.99,68,87,10.54
555,babanusah,babanusah,,,,,,,
556,airai,airai,-8.9266,125.4092,1651810,72.09,55,13,1.68
557,jacareacanga,jacareacanga,-6.2222,-57.7528,3397763,72.75,97,12,0.65
558,clyde river,clyde river,70.4692,-68.5914,5924351,15.8,79,90,8.05
559,soller,soller,39.7662,2.7152,2510821,53.26,92,5,1.99
560,manchar,manchar,19,73.9333,1263937,74.37,48,20,4.38
561,sioux lookout,sioux lookout,50.1001,-91.917,6148373,60.8,23,20,9.22
562,port blair,port blair,11.6667,92.75,1259385,81.5,73,89,4.88
563,tiznit,tiznit,29.5833,-9.5,2527087,57.92,84,36,3.09
564,burley,burley,42.5357,-113.7928,5587385,64.4,19,1,17.27
565,point pleasant,point pleasant,40.0832,-74.0682,5102796,45.77,31,90,18.41
566,naftah,naftah,,,,,,,
567,linkou,linkou,45.3,130.2833,2036066,61.39,52,100,3.27
568,karaton,karaton,-6.3424,106.1045,1630058,80.29,74,20,9.22
569,kuche,kuche,,,,,,,
570,talas,talas,38.6908,35.5538,299900,37.4,81,0,4.61
571,caxito,caxito,-8.5785,13.6643,2242001,73.4,88,75,9.22
572,hay river,hay river,60.8156,-115.7999,5972762,21.2,58,100,9.22
573,san vicente,san vicente,-26.6167,-54.1333,3428068,60.42,67,100,1.92
574,laguna de perlas,laguna de perlas,12.3429,-83.6712,3618522,82.4,78,75,4.61
575,iranshahr,iranshahr,27.2025,60.6848,1160939,75.2,19,0,1.63
576,machilipatnam,machilipatnam,16.1667,81.1333,1264637,82.4,83,40,3.44
577,nome,nome,64.5011,-165.4064,5870133,44.6,49,40,8.05
578,golden,golden,39.7555,-105.2211,5423294,37.8,61,75,3.13
579,christchurch,christchurch,-43.5333,172.6333,2192362,70.57,37,100,6.91
580,mattru,mattru,7.6244,-11.8332,2409215,78.08,92,89,1.77
581,zhuhai,zhuhai,22.2769,113.5678,1790437,79.11,83,0,3.44
582,mentok,mentok,,,,,,,
583,gannan,gannan,47.9147,123.5031,2037311,54.05,47,24,17.31
584,progreso,progreso,21.2833,-89.6667,3521108,86,66,75,6.91
585,wuchang,wuchang,44.9143,127.15,2034141,54.23,86,100,6.11
586,makakilo city,makakilo city,21.3469,-158.0858,5850554,82.89,45,40,5.75
587,oktyabrskoye,oktyabrskoye,43.0645,44.7417,515805,50,93,100,6.71
588,scottsbluff,scottsbluff,41.8666,-103.6672,5699404,60.01,19,20,6.91
589,tarazona,tarazona,41.9,-1.7333,3108308,51.91,87,48,10.36
590,sembe,sembe,1.6481,14.5806,2255304,72.7,93,100,1.21
591,hvide sande,hvide sande,56.0045,8.1294,2619537,41,78,5,3
592,mazara del vallo,mazara del vallo,37.6641,12.588,6541759,57.29,94,20,5.75
593,salalah,salalah,17.0151,54.0924,286621,80.6,69,20,2.3
594,lubumbashi,lubumbashi,-11.6609,27.4794,922704,63.52,91,100,5.75
595,samalaeulu,samalaeulu,,,,,,,
596,walvis bay,walvis bay,-22.9575,14.5053,3359638,62.78,77,6,3.44
597,san carlos de bariloche,san carlos de bariloche,-41.1456,-71.3082,7647007,51.8,50,75,10.36
598,monroe,monroe,43.1501,-77.6831,5127305,37.09,60,75,13.8
599,darnah,darnah,32.767,22.6367,87205,61.27,65,100,11.05
600,bantou,bantou,26.2151,117.4893,1796663,77.54,78,26,3
601,oktyabrskiy,oktyabrskiy,54.4815,53.471,515879,38.25,97,100,4.07
602,hirara,hirara,24.8,125.2833,1862505,75.2,88,75,18.41
603,saint-leu,saint-leu,-21.15,55.2833,6690297,70.29,83,90,10.36
604,port-gentil,port-gentil,-0.7193,8.7815,2396518,76.8,86,100,9.57
605,azimur,azimur,,,,,,,
606,bedesa,bedesa,8.9,40.7833,342559,59.43,89,56,3.36
607,nalut,nalut,30.3333,10.85,2214432,74.28,24,11,5.82
608,wundanyi,wundanyi,-3.4019,38.364,178073,60.93,92,100,2.98
609,talcahuano,talcahuano,-36.7167,-73.1167,3870282,53.6,87,0,4.61
610,kizukuri,kizukuri,40.8061,140.3861,2129513,51.44,43,0,5.75
611,gao,gao,16.6362,1.637,2457161,85.42,10,7,9.51
612,balimo,balimo,,,,,,,
613,tokzar,tokzar,,,,,,,
614,pochutla,pochutla,15.7432,-96.4661,3517970,89.29,37,75,4.79
615,viedma,viedma,-40.8135,-62.9967,3832899,57.42,73,57,7.27
616,fethiye,fethiye,36.6217,29.1164,314967,50,81,0,5.75
617,chegdomyn,chegdomyn,51.1167,133.0167,2025579,47.25,88,100,2.98
618,saharanpur,saharanpur,29.9667,77.55,1257806,66.94,54,93,7.29
619,vladivostok,vladivostok,43.1056,131.8735,2013348,51.8,35,100,2.24
620,arman,arman,59.7,150.1667,2127060,31.86,98,100,4.21
621,elesbao veloso,elesbao veloso,-6.2019,-42.1403,3400920,72.81,93,100,0.49
622,puerto madero,puerto madero,14.7208,-92.4215,3520989,86,74,75,6.91
623,tibati,tibati,6.4667,12.6333,2221530,66.79,94,100,1.48
624,abu dhabi,abu dhabi,24.4667,54.3667,292968,79.57,53,0,2.3
